time,open,high,low,close,Volume,BBPower
2012-06-04,5.18,5.24,5.14,5.22,1359.1183093,0.09442199882574176
2012-06-05,5.22,5.49,5.22,5.37,929.19495142,0.35950457042206363
2012-06-06,5.39,5.49,5.37,5.41,770.84630967,0.4424324889331972
2012-06-07,5.41,5.53,5.4,5.53,1412.87520675,0.42065641908559837
2012-06-08,5.48,5.63,5.46,5.61,1397.44902141,0.4791340735019407
2012-06-09,5.6,5.62,5.47,5.48,353.65603433,0.42925777728737735
2012-06-10,5.54,5.54,5.42,5.42,270.95117635,0.2736495233891807
2012-06-11,5.48,5.57,5.4,5.52,667.67216608,0.23312816290501281
2012-06-12,5.57,5.9,5.53,5.71,9330.40796351,0.5955384253471534
2012-06-13,5.77,6,5.71,5.86,1690.19740728,0.7490329360118446
2012-06-14,5.86,5.91,5.79,5.9,3236.50872608,0.6191710880101526
2012-06-15,5.88,6.42,5.56,6.42,2041.44728738,0.647860932580131
2012-06-16,6.41,6.52,6.12,6.41,1010.13937535,1.09530937078297
2012-06-17,6.41,6.47,6.13,6.19,424.19045736,0.9359794606711169
2012-06-18,6.13,6.34,5.98,6.06,2483.09865297,0.5908395377181002
2012-06-19,6.13,6.49,6.13,6.46,1389.04883704,0.7207196037583712
2012-06-20,6.4,6.65,6.26,6.64,2075.98456731,0.813473946078604
2012-06-21,6.66,6.69,6.64,6.64,480.84201914,1.0644062394959466
2012-06-22,6.64,6.67,6.48,6.59,963.16079857,0.7537767767108114
2012-06-23,6.6,6.61,6.33,6.45,1137.14132853,0.4718086657521239
2012-06-24,6.35,6.45,6.35,6.4,599.17294989,0.28440742778753414
2012-06-25,6.35,6.35,6.11,6.26,1956.72821545,-0.05622220475354123
2012-06-26,6.26,6.46,6.17,6.41,2273.09860084,0.07038096735410715
2012-06-27,6.41,6.68,6.34,6.49,11231.7782872,0.4003265434463774
2012-06-28,6.49,6.54,5.99,6.5,4266.15056833,-0.14400581990310446
2012-06-29,6.5,6.63,6.49,6.52,8127.55500202,0.39370929722590997
2012-06-30,6.58,6.61,6.5,6.61,828.0520601,0.3131793976222079
2012-07-01,6.6,6.62,6.52,6.52,332.44372303,0.30843948367617724
2012-07-02,6.55,6.64,6.52,6.61,1792.23613156,0.27294812886529396
2012-07-03,6.61,6.66,6.4,6.44,1936.39057108,0.17395553902739636
2012-07-04,6.44,6.55,6.36,6.44,2014.68873238,0.024819033452054384
2012-07-05,6.52,6.66,6.52,6.6,1406.97193177,0.2498448858160458
2012-07-06,6.59,6.6,6.39,6.59,1662.61510481,0.024152759270896773
